#
#   VizieR Astronomical Server vizier.cfa.harvard.edu
#    Date: 2016-10-06T19:01:21 [V1.99+ (14-Oct-2013)]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	votable-version=1.99+ (14-Oct-2013)	
#INFO	-ref=VIZ57f69f5710b3	
#INFO	-out.max=unlimited	
#INFO	queryParameters=27	
#-oc.form=dec
#-out.max=unlimited
#-out.all=2
#-order=I
#-out.src=J/MNRAS/386/2115/table1
#-nav=cat:J/MNRAS/386/2115&tab:{J/MNRAS/386/2115/table1}&key:source=J/MNRAS/386/2115/table1&HTTPPRM:&&-ref=VIZ57f69f5710b3&-out.max=unlimited&-out.form=ascii - 999%27filled&-out.all=2&-oc.form=sexa&-c.eq=J2000&-c.r=  2&-c.u=arcmin&-c.geom=r&-order=I&-out=HIP&-out=Name&-out=plx&-out=e_plx&-out=Vmag&-out=Jmag&-out=Hmag&-out=Ksmag&-out=Per&-out=[Fe/H]&-out=E(B-V)&-out=Type&-out=Simbad&-ignore=Simbad=*&Simbad=Simbad&-out=_RA&-out=_DE&-out.all=2&-file=.&-meta.ucd=2&-meta=1&-meta.foot=1&-usenav=1&-bmark=POST&-out.src=J/MNRAS/386/2115/table1
#-c.eq=J2000
#-c.r=  2
#-c.u=arcmin
#-c.geom=r
#-source=J/MNRAS/386/2115/table1
#-order=I
#-out=HIP
#-out=Name
#-out=plx
#-out=e_plx
#-out=Vmag
#-out=Jmag
#-out=Hmag
#-out=Ksmag
#-out=Per
#-out=[Fe/H]
#-out=E(B-V)
#-out=Type
#-out=Simbad
#-out=_RA
#-out=_DE
#

#RESOURCE=yCat_73862115
#Name: J/MNRAS/386/2115
#Title: Type II Cepheid and RR Lyrae variables (Feast+, 2008)
#Table	J_MNRAS_386_2115_table1:
#Name: J/MNRAS/386/2115/table1
#Title: Basic data used in the analysis for 142 RR Lyrae
#Column	HIP	(I6)	Hipparcos number	[ucd=meta.id;meta.main]
#Column	Name	(a8)	Name	[ucd=meta.id]
#Column	plx	(F5.2)	Parallax (from revised HIP catalog, <I/311>)	[ucd=pos.parallax.trig]
#Column	e_plx	(F5.2)	rms uncertainty on plx	[ucd=stat.error;pos.parallax]
#Column	Vmag	(F6.3)	V magnitude	[ucd=phot.mag;em.opt.V]
#Column	Jmag	(F6.3)	2MASS J magnitude	[ucd=phot.mag;em.IR.J]
#Column	Hmag	(F6.3)	2MASS H magnitude	[ucd=phot.mag;em.IR.H]
#Column	Ksmag	(F6.3)	2MASS Ks magnitude	[ucd=phot.mag;em.IR.K]
#Column	Per	(F9.6)	Period	[ucd=time.period]
#Column	[Fe/H]	(F5.2)	Metallicity	[ucd=phys.abund.Z]
#Column	E(B-V)	(F6.3)	Reddening	[ucd=phot.color.excess]
#Column	Type	(A1)	[c] c for RRc-type variable	[ucd=meta.code;src.var]
#Column	Simbad	(a6)	ask the {\bf\fg{FireBrick}Simbad} data-base about this object	[ucd=]
#Column	_RA	(F9.5)	Right Ascension (J2000) from SIMBAD (not part of the original data)	[ucd=pos.eq.ra;meta.main]
#Column	_DE	(F9.5)	Declination (J2000) from SIMBAD (not part of the original data)	[ucd=pos.eq.dec;meta.main]
HIP;Name;plx;e_plx;Vmag;Jmag;Hmag;Ksmag;Per;[Fe/H];E(B-V);Type;Simbad;_RA;_DE
 37779;HK Pup  ;-2.90; 3.60;11.370;10.240;10.010; 9.915; 0.734229;-1.11; 0.160; ;Simbad;116.19502;-13.09897
 37805;TW Lyn  ;-6.62; 8.60;12.000;11.075;10.854;10.778; 0.481862;-0.66; 0.051; ;Simbad;116.27623;+43.11155
 38561;SZ Gem  ; 6.04; 4.19;11.750;11.072;10.798;10.748; 0.501143;-1.46; 0.013; ;Simbad;118.43105;+19.27331
 39009;UY Cam  ; 0.19; 1.99;11.530;11.002;10.872;10.859; 0.267044;-1.33; 0.022;c;Simbad;119.74533;+72.78761
 39849;XX Pup  ;-0.15; 3.81;11.250;10.321;10.118;10.084; 0.517203;-1.33; 0.068; ;Simbad;122.11764;-16.53323
 40186;DD Hya  ;-5.41; 5.88;12.220;11.457;11.241;11.228; 0.501771;-0.97; 0.013; ;Simbad;123.13256;+02.83473
 41936;TT Cnc  ; 2.42; 5.55;11.350;10.330;10.047; 9.968; 0.563430;-1.57; 0.043; ;Simbad;128.22992;+13.19124
 44428;TT Lyn  ;-1.48; 1.75; 9.860; 8.908; 8.655; 8.611; 0.597429;-1.56; 0.017; ;Simbad;135.78245;+44.58559
 45709;RW Cnc  ; 1.05; 4.98;11.850;10.677;10.561;10.530; 0.547224;-1.67; 0.020; ;Simbad;139.77515;+29.06548
 48503;T Sex   ; 2.24; 1.56;10.040; 9.438; 9.268; 9.200; 0.324706;-1.34; 0.044;c;Simbad;148.36833;+02.05732
 49628;RR Leo  ; 5.01; 3.16;10.730;10.021; 9.778; 9.730; 0.452392;-1.60; 0.037; ;Simbad;151.93108;+23.99176
 50073;WZ Hya  ; 4.50; 5.17;10.900; 9.945; 9.669; 9.610; 0.537713;-1.39; 0.075; ;Simbad;153.35053;-13.13815
 50289;WY Ant  ;-0.27; 2.51;10.870; 9.970; 9.744; 9.674; 0.574341;-1.48; 0.059; ;Simbad;154.02061;-29.72845
 53213;AF Vel  ; 0.57; 3.19;11.440;10.354;10.079;10.040; 0.527414;-1.49; 0.250; ;Simbad;163.26036;-49.90632
 55825;W Crt   ;-1.95; 3.43;11.540;10.774;10.590;10.539; 0.412015;-0.54; 0.040; ;Simbad;171.62351;-17.91435
 56088;TU UMa  ; 0.56; 1.68; 9.820; 8.919; 8.740; 8.660; 0.557658;-1.51; 0.022; ;Simbad;172.45205;+30.06733
 56350;AX Leo  ;-3.10; 7.00;12.260;11.302;11.048;10.951; 0.726845;-1.72; 0.033; ;Simbad;173.26561;+12.15386
 56409;SS Leo  ; 2.50; 4.01;11.030;10.259;10.008; 9.943; 0.626335;-1.79; 0.018; ;Simbad;173.47706;-00.03334
 56734;SU Dra  ; 1.27; 1.53; 9.780; 8.898; 8.676; 8.619; 0.660418;-1.80; 0.010; ;Simbad;174.48586;+67.32974
 56742;BX Leo  ; 7.73; 6.17;11.610;10.889;10.743;10.709; 0.362757;-1.28; 0.023;c;Simbad;174.50860;+16.54338
 56785;ST Leo  ;-0.45; 3.47;11.490;10.690;10.480;10.446; 0.477990;-1.17; 0.038; ;Simbad;174.63616;+10.56159
 57625;X Crt   ;-3.98; 4.50;11.480;10.482;10.213;10.148; 0.732842;-2.00; 0.027; ;Simbad;177.23425;-10.44126
 58907;IK Hya  ; 1.39; 1.62;10.110; 9.144; 8.863; 8.760; 0.650371;-1.24; 0.061; ;Simbad;181.19697;-27.67869
 59208;UU Vir  ; 2.24; 2.91;10.560; 9.596; 9.436; 9.414; 0.475597;-0.87; 0.018; ;Simbad;182.14613;-00.45676
 59411;AB UMa  ; 0.12; 1.94;10.940; 9.934; 9.678; 9.623; 0.599593;-0.49; 0.022; ;Simbad;182.81078;+47.82883
 59946;SW Dra  ; 2.24; 1.42;10.480; 9.594; 9.362; 9.319; 0.569671;-1.12; 0.014; ;Simbad;184.44429;+69.51062
 61029;UZ CVn  ; 6.50; 7.59;12.120;11.219;10.941;10.885; 0.697791;-1.89; 0.019; ;Simbad;187.61542;+40.50887
 61031;SV Hya  ; 3.79; 2.16;10.530; 9.673; 9.455; 9.366; 0.478542;-1.50; 0.080; ;Simbad;187.62710;-26.04754
 61225;S Com   ; 5.16; 3.66;11.630;10.823;10.678;10.619; 0.586585;-1.91; 0.019; ;Simbad;188.19011;+27.02928
 61809;U Com   ; 7.40; 4.05;11.740;11.186;10.984;10.987; 0.292736;-1.25; 0.014;c;Simbad;190.01332;+27.49893
 63054;AT Vir  ; 1.32; 3.03;11.340;10.547;10.363;10.332; 0.525785;-1.60; 0.030; ;Simbad;193.79392;-05.45898
 64875;ST Com  ;-3.68; 3.55;11.460;10.461;10.258;10.186; 0.598927;-1.10; 0.024; ;Simbad;199.46393;+20.78077
 65063;AV Vir  ; 2.22; 4.73;11.820;10.853;10.615;10.566; 0.656910;-1.25; 0.028; ;Simbad;200.04820;+09.18787
 65344;AM Vir  ;-1.79; 3.17;11.520;10.509;10.253;10.199; 0.615063;-1.37; 0.067; ;Simbad;200.88886;-16.66608
 65445;AU Vir  ; 0.06; 4.99;11.590;11.085;10.918;10.847; 0.339616;-1.50; 0.028;c;Simbad;201.20003;-06.97931
 65547;SX UMa  ; 1.90; 1.81;10.840;10.288;10.135;10.071; 0.307139;-1.81; 0.010;c;Simbad;201.55608;+56.25696
 66122;RV UMa  ;-0.30; 1.85;10.770;10.058; 9.854; 9.831; 0.468069;-1.20; 0.018; ;Simbad;203.32535;+53.98739
 67087;RZ CVn  ;-2.03; 2.99;11.570;10.733;10.518;10.478; 0.567403;-1.84; 0.014; ;Simbad;206.26257;+32.65464
 67227;RV Oct  ; 1.75; 2.17;10.980; 9.879; 9.614; 9.526; 0.571169;-1.71; 0.180; ;Simbad;206.63230;-84.40177
 67354;SS CVn  ; 2.14; 3.83;11.840;11.185;10.951;10.936; 0.478510;-1.37; 0.006; ;Simbad;207.06642;+39.90084
 67976;V499 Cen;-0.01; 2.97;11.120;10.225; 9.926; 9.922; 0.521205;-1.43; 0.085; ;Simbad;208.81153;-43.24022
 68188;ST CVn  ;-1.28; 4.11;11.370;10.626;10.459;10.449; 0.329065;-1.07; 0.012;c;Simbad;209.39192;+29.85797
 68292;UY Boo  ; 1.45; 3.00;10.940; 9.981; 9.755; 9.723; 0.650889;-2.56; 0.033; ;Simbad;209.69307;+12.95179
 68908;W CVn   ; 2.95; 2.42;10.550; 9.667; 9.454; 9.371; 0.551753;-1.22; 0.005; ;Simbad;211.61658;+37.82819
 69759;TV Boo  ;-0.05; 2.09;10.970;10.373;10.282;10.248; 0.312557;-2.44; 0.010;c;Simbad;214.15242;+42.35992
 70702;ST Vir  ;-5.10; 5.66;11.520;10.914;10.748;10.671; 0.410806;-0.67; 0.039; ;Simbad;216.91281;-00.90161
 70751;AF Vir  ;-9.08; 5.23;11.800;10.939;10.769;10.684; 0.483735;-1.33; 0.023; ;Simbad;217.04092;+06.54553
 71186;RS Boo  ; 1.62; 1.91;10.370; 9.744; 9.559; 9.507; 0.377339;-0.36; 0.012; ;Simbad;218.38839;+31.75462
 72115;TW Boo  ;-2.23; 2.28;11.290;10.407;10.192;10.170; 0.532277;-1.46; 0.013; ;Simbad;221.27476;+41.02892
 72342;AE Boo  ; 0.33; 2.00;10.650; 9.974; 9.819; 9.762; 0.314893;-1.39; 0.023;c;Simbad;221.89693;+16.84543
 72444;TY Aps  ; 1.78; 3.07;11.850;10.819;10.532;10.456; 0.501695;-0.95; 0.169; ;Simbad;222.20838;-71.32830
 72691;BT Dra  ;-1.26; 2.08;11.640;10.735;10.478;10.397; 0.588673;-1.75; 0.010; ;Simbad;222.93602;+60.06918
 72721;XZ Aps  ;-4.19; 5.48;12.380;11.284;11.006;10.923; 0.587275;-1.06; 0.135; ;Simbad;223.02261;-79.67961
 74556;AP Ser  ;-0.16; 4.32;11.110;10.462;10.305;10.268; 0.340805;-1.58; 0.042;c;Simbad;228.50384;+09.98107
 75225;TV CrB  ; 1.89; 5.75;11.870;11.037;10.814;10.774; 0.584629;-2.33; 0.033; ;Simbad;230.58934;+26.87712
 75234;FW Lup  ; 1.58; 1.18; 9.060; 7.995; 7.836; 7.671; 0.484169;-0.20; 0.077; ;Simbad;230.60575;-40.92673
 75942;ST Boo  ;-0.13; 1.80;11.010;10.185; 9.981; 9.930; 0.622286;-1.76; 0.021; ;Simbad;232.66346;+35.78453
 75982;VY Ser  ;-0.77; 1.99;10.130; 9.205; 8.944; 8.826; 0.714101;-1.79; 0.040; ;Simbad;232.75803;+01.68382
 76313;CG Lib  ;-0.50; 5.67;11.550;10.437;10.208;10.125; 0.306787;-1.19; 0.297;c;Simbad;233.82002;-24.33682
 77663;VY Lib  ;-1.84; 4.04;11.730;10.480;10.174;10.070; 0.533941;-1.34; 0.192; ;Simbad;237.82080;-15.75092
 77830;AN Ser  ;-4.47; 4.79;10.940;10.096; 9.898; 9.842; 0.522069;-0.07; 0.040; ;Simbad;238.37938;+12.96115
 77997;AT Ser  ; 0.18; 5.30;11.480;10.533;10.248;10.214; 0.746570;-2.03; 0.037; ;Simbad;238.91822;+07.98878
 78417;AR Her  ; 2.08; 3.25;11.240;10.605;10.413;10.391; 0.469981;-1.30; 0.013; ;Simbad;240.13430;+46.92381
 79974;RV CrB  ; 3.77; 3.21;11.410;10.555;10.418;10.336; 0.331593;-1.69; 0.039;c;Simbad;244.85772;+29.71323
 80402;V445 Oph; 5.60; 5.33;11.050; 9.649; 9.401; 9.262; 0.397023;-0.19; 0.287; ;Simbad;246.17171;-06.54165
 80853;VX Her  ;-0.78; 2.65;10.690; 9.848; 9.651; 9.590; 0.455362;-1.58; 0.044; ;Simbad;247.67000;+18.36682
 80990;UV Oct  ; 2.32; 1.12; 9.500; 8.592; 8.362; 8.297; 0.542587;-1.74; 0.091; ;Simbad;248.10639;-83.90292
 81238;RW Dra  ; 1.38; 2.44;11.710;10.779;10.596;10.622; 0.442909;-1.55; 0.011; ;Simbad;248.88166;+57.83978
 83244;RW TrA  ; 5.74; 3.19;11.400;10.375;10.111;10.059; 0.374039;-0.13; 0.105; ;Simbad;255.19452;-66.66386
 84233;VZ Her  ; 3.49; 2.12;11.480;10.746;10.590;10.496; 0.440331;-1.02; 0.027; ;Simbad;258.26668;+35.97862
 87681;TW Her  ;-3.36; 2.22;11.280;10.528;10.322;10.239; 0.399599;-0.69; 0.042; ;Simbad;268.63000;+30.41048
 87804;WY Pav  ; 1.08; 6.99;12.180;10.836;10.647;10.553; 0.588573;-0.98; 0.126; ;Simbad;269.05148;-57.16205
 88064;S Ara   ;-2.11; 3.31;10.780; 9.867; 9.601; 9.560; 0.451879;-0.71; 0.124; ;Simbad;269.79471;-49.43346
 88402;MS Ara  ; 8.81; 5.20;12.070;11.036;10.763;10.664; 0.524982;-1.48; 0.146; ;Simbad;270.76788;-52.72239
 89326;V675 Sgr;-1.28; 2.75;10.330; 9.313; 9.053; 9.003; 0.642280;-2.28; 0.130; ;Simbad;273.39754;-34.31718
 89372;BC Dra  ; 1.51; 1.99;11.600;10.435;10.172;10.096; 0.719590;-2.00; 0.068; ;Simbad;273.57945;+76.68567
 89450;V455 Oph;-1.47; 6.69;12.360;11.395;11.160;11.088; 0.453882;-1.07; 0.144; ;Simbad;273.82718;+12.35237
 90053;IO Lyr  ;-0.84; 2.95;11.850;10.841;10.591;10.538; 0.577121;-1.14; 0.074; ;Simbad;275.65833;+32.95905
 91634;CN Lyr  ;-3.91; 2.52;11.480;10.282;10.055; 9.919; 0.411383;-0.58; 0.178; ;Simbad;280.31645;+28.72254
 92244;V413 CrA;-1.75; 3.26;10.600; 9.497; 9.248; 9.148; 0.589343;-1.26; 0.075; ;Simbad;281.99008;-37.73959
 93476;MT Tel  ; 1.17; 1.46; 8.980; 8.323; 8.176; 8.076; 0.316900;-1.85; 0.038;c;Simbad;285.55117;-46.65336
 94134;XZ Dra  ; 2.28; 1.20;10.250; 9.398; 9.221; 9.148; 0.476497;-0.79; 0.062; ;Simbad;287.42754;+64.85893
 94869;BK Dra  ; 0.67; 1.52;11.190;10.336;10.124;10.071; 0.592076;-1.95; 0.052; ;Simbad;289.58612;+66.41333
 95497;RR Lyr  ; 3.79; 0.19; 7.760; 6.759; 6.546; 6.489; 0.566839;-1.39; 0.030; ;Simbad;291.36630;+42.78436
 95702;BN Vul  ; 3.56; 3.08;11.020; 9.138; 8.793; 8.677; 0.594138;-1.61; 0.173; ;Simbad;291.98359;+24.34735
 96101;V440 Sgr;-0.09; 3.43;10.340; 9.402; 9.153; 9.082; 0.477479;-1.40; 0.085; ;Simbad;293.08659;-23.85354
 96112;XZ Cyg  ; 1.83; 1.01; 9.680; 8.990; 8.793; 8.722; 0.466610;-1.44; 0.096; ;Simbad;293.12211;+56.38819
 96581;BN Pav  ; 6.43; 6.05;12.600;11.593;11.344;11.279; 0.567117;-1.32; 0.073; ;Simbad;294.51410;-60.61100
 98265;BP Pav  ; 3.50; 6.34;12.540;11.648;11.386;11.366; 0.527128;-1.48; 0.059; ;Simbad;299.50059;-65.73610
101356;V341 Aql;-4.86; 5.62;10.850; 9.886; 9.687; 9.606; 0.578017;-1.22; 0.086; ;Simbad;308.13151;+00.58530
102593;DX Del  ; 0.40; 1.94; 9.940; 9.048; 8.746; 8.685; 0.472619;-0.39; 0.092; ;Simbad;311.86815;+12.46408
103364;UY Cyg  ; 2.55; 2.91;11.110;10.060; 9.805; 9.777; 0.560714;-0.80; 0.129; ;Simbad;314.11793;+30.42786
103755;RV Cap  ; 0.85; 3.82;11.040; 9.703; 9.717; 9.753; 0.447698;-1.61; 0.041; ;Simbad;315.37029;-15.22947
104613;V Ind   ; 1.09; 2.06; 9.960; 9.274; 9.028; 8.985; 0.479604;-1.50; 0.043; ;Simbad;317.87460;-45.07455
104930;SW Aqr  ;-3.93; 4.09;11.180;10.413;10.142;10.057; 0.459299;-1.63; 0.076; ;Simbad;318.82438;+00.07635
105026;Z Mic   ; 0.69; 3.53;11.650;10.478;10.179;10.112; 0.586925;-1.10; 0.094; ;Simbad;319.09461;-30.28419
105285;YZ Cap  ; 4.62; 2.78;11.300;10.532;10.437;10.429; 0.273461;-1.06; 0.063;c;Simbad;319.88505;-15.11698
106645;SX Aqr  ; 2.42; 3.58;11.780;10.973;10.689;10.639; 0.535712;-1.87; 0.048; ;Simbad;324.03520;+03.23056
106649;RY Oct  ;-1.87; 4.88;12.060;11.118;10.917;10.859; 0.563475;-1.83; 0.113; ;Simbad;324.03903;-77.30376
107078;CG Peg  ; 3.16; 2.49;11.180;10.216;10.007; 9.970; 0.467133;-0.50; 0.074; ;Simbad;325.31996;+24.77346
107935;AV Peg  ; 2.88; 2.44;10.500; 9.609; 9.406; 9.346; 0.390378;-0.08; 0.067; ;Simbad;328.01164;+22.57483
108057;SS Oct  ; 9.09; 3.32;11.910;10.041; 9.835; 9.752; 0.621852;-1.60; 0.285; ;Simbad;328.39740;-82.77883
108839;BV Aqr  ; 7.24; 4.15;10.900;10.228;10.017;10.075; 0.363653;-1.42; 0.034; ;Simbad;330.72499;-21.52560
111839;RZ Cep  ; 0.60; 1.48; 9.470; 8.168; 7.959; 7.883; 0.308688;-1.77; 0.078;c;Simbad;339.80489;+64.85850
112994;BH Peg  ;-0.72; 2.38;10.460; 9.385; 9.114; 9.067; 0.640991;-1.22; 0.077; ;Simbad;343.25432;+15.78794
115135;DN Aqr  ;-1.08; 2.82;11.200;10.158; 9.934; 9.900; 0.633757;-1.66; 0.025; ;Simbad;349.82168;-24.21633
115870;RV Phe  ; 1.75; 4.71;11.940;11.106;10.828;10.768; 0.594160;-1.69; 0.007; ;Simbad;352.13106;-47.45362
116664;BR Aqr  ; 0.71; 3.48;11.420;10.648;10.421;10.370; 0.481872;-0.74; 0.027; ;Simbad;354.63703;-09.31874
116942;VZ Peg  ; 4.89; 3.75;11.900;11.219;11.059;11.010; 0.306493;-1.80; 0.045;c;Simbad;355.56793;+24.91620
116958;AT And  ;-2.25; 1.85;10.710; 9.478; 9.181; 9.087; 0.616917;-1.18; 0.110; ;Simbad;355.62847;+43.01435

